Area,CurrentRepresentativePaths,Decision,V2Destination,MigrationRule,BlockingDependency,AcceptanceEvidence
AgentToolRegistry,src/ai4s_agent/agents/tool_registry.py; docs/agent-tool-registry.md,MIGRATE,src/molly/core/tools.py,Keep typed descriptive contracts and turn them into the sole runtime ToolRegistry; remove duplicate review-only/execution registry split,CORE-02,one closed ToolRegistry source
Atomic task registry,atomic task/task registry modules,REWRITE,src/molly/core/tools.py; agent_loop.py,Unify task capability and executable tool contracts; do not preserve historical task IDs or a second registry,CORE-02,single registry and schema validation
Literature intake,src/ai4s_agent/literature_intake.py; docs/literature-intake.md,REWRITE,src/molly/acquisition/,"Replace PDF/Conversation/Gate coupling with metadata providers, resolver, fetcher, cache, scheduler and provenance","C3,C7,CORE-03",metadata/fulltext acceptance with legal sources and cache
Phase 3 adapter monolith,src/ai4s_agent/adapters/phase3.py,MIGRATE,src/molly/acquisition/; documents/; evidence/,Extract only required pure parsing/extraction functions into bounded modules; no new adapter monolith,"C2,CORE-03,CORE-04,CORE-05",bounded modules and no phase3 runtime dependency
PDFPlumber parser,pdfplumber adapters/tasks,PLUGIN,src/molly/documents/parsers/pdf_text.py,Optional lightweight text-layer PDF parser behind DocumentParser interface,CORE-04,router selects parser by source capability
MinerU,MinerU adapter/worker/profile; quickstart extra,PLUGIN,src/molly/documents/parsers/mineru.py,PDF fallback only; optional dependency; must output CanonicalDocument and parser-quality metadata,CORE-04,XML/HTML core paths and minimal install work without MinerU
ParsedDocument,ParsedDocument schemas and builders,REWRITE,src/molly/documents/canonical.py; locators.py,Replace with CanonicalDocument and typed SourceLocator; adapters normalize source formats,"C4,C7,CORE-04",block/table/cell locator coverage
BR2 deterministic extraction,BR2 extraction/candidate modules,MIGRATE,src/molly/evidence/candidates.py; domains/oled/,Preserve deterministic evidence-candidate extraction with explicit source locators and artifact lineage,CORE-05,gold candidate extraction tests
BR2 contextual mapping,contextual mapping provider/result modules,SIMPLIFY,src/molly/evidence/mapping.py; llm/structured_output.py,"Keep structured mapping, evidence packet and binding; remove conversation, authority and publication wrappers",CORE-05,"schema-valid, evidence-bound records"
BR2 conversation publication,BR2 conversation/runtime/publication modules,ARCHIVE,none,Do not migrate conversation-specific crash-safe publication state; use ArtifactStore and ReviewRecord,"C1,C2",legacy only; no v2 imports
OLED ontology/schema,"OLED schema, condition, identity modules",MIGRATE,src/molly/domains/oled/,"Preserve OLED ontology, field schemas and condition-aware identity without claiming universal DomainPack semantics",CORE-05,OLED schema and validator coverage
Data layer leakage/identity,src/ai4s_agent/data_layer.py and related,MIGRATE,src/molly/domains/oled/validators.py; evidence/validation.py,"Keep molecule identity, duplicate/conflict, unit and paper/scaffold leakage checks",CORE-05,adversarial identity/leakage tests
Custom corpus governance,custom-corpus governance/admission modules and docs,ARCHIVE,acquisition provenance + ReviewRecord,Keep useful provenance/schema concepts; remove custom-corpus governance and admission state machine,"C2,C3",no custom-corpus authority chain
BR1 dataset preparation,BR1 preparation/review modules,PLUGIN,plugins/br1_inverse_design/,Migrate scientific transformations only after Core literature-to-dataset path is stable; mandatory before default cutover,"CORE-06A,CORE-06C",current-run reviewed dataset artifact; no historical artifact reuse; BR1 parity report
Uni-Mol train/predict,Uni-Mol worker/adapters/profiles,PLUGIN,plugins/br1_inverse_design/unimol.py,Use server-owned logical local/remote compute profile; fresh training and current-run model binding; no v1 authority wrapper,"CORE-06A,CORE-06B,CORE-06C","fresh train/model/prediction artifacts with versions, seeds and current-model binding"
REINVENT4 generation,REINVENT4 worker/adapters/profiles,PLUGIN,plugins/br1_inverse_design/reinvent.py,Migrate real generation tool with explicit seed/version/input artifacts; no v1 authority wrappers; mandatory before cutover,"CORE-06A,CORE-06B,CORE-06C",real generation artifact bound to current run plus fresh-real BR1 canary
Candidate ranking/evaluation,"ranking, critic, Top-N evaluation modules",PLUGIN,plugins/br1_inverse_design/evaluation.py,"Keep explicit metrics and distinguish validity, model prediction and proxy utility; deterministic terminal projection","CORE-06A,CORE-06C","computational-top-n contract, current-run lineage, stable projection replay digest and claim boundary"
Remote execution,RemoteExecutionService; SSH transport; molly_worker.py,PLUGIN,plugins/remote_compute/,"Local backend first; if representative BR1 uses remote GPU, migrate minimal durable submit/inspect/collect backend before BR1 parity; no authority/lease wrappers","CORE-06B,CORE-06C",logical profiles; durable job handle; idempotent submit; restart-safe inspect/collect; no duplicate dispatch or stale adoption
Remote resource authority,remote_resource_authority* modules,ARCHIVE,minimal server-owned compute configuration,Do not migrate full remote policy/AuthoritySet system,"C1,C2",credentials remain server-owned without authority graph
LLM providers,provider/profile/openai-compatible modules,SIMPLIFY,src/molly/llm/,"Keep role-bound profiles, SSE transport and structured output; remove historical compatibility layers","CORE-02,CORE-05",prompt/model/schema/response digests recorded
Credentials/keyring,credential resolution modules,SIMPLIFY,src/molly/llm/profiles.py; acquisition/config.py,"Use server-owned logical credential profiles; secrets never enter prompt, artifact or ledger payload","C3,CORE-03",credential leakage tests
Tests,tests/,REWRITE,tests/molly/,Freeze legacy tests with v1; write Core v2 tests from approved requirements; add separate BR1 contract and fresh-real parity suites,C5,"core fast suites plus BR1 synthetic contract, fresh-real canary and restart-safe compute evidence"
Acceptance evidence,evidence/; docs/evidence/,ARCHIVE,docs/v2/evidence/,Keep v1 evidence immutable; add v2 privacy-safe acceptance and explicit BR1 parity report before cutover,"C1,C3,C7",v1 evidence unchanged and v2 BR1 B0-B4 report present
Scripts,scripts/,REWRITE,scripts/v2/,"Keep only reproducible acquisition, migration and acceptance scripts with requirement traceability","C2,C5",script inventory complete
CI workflows,.github/workflows/*.yml,REWRITE,.github/workflows/v2-*.yml or bounded jobs,"Small core PR-fast; separate parser, network-mock, observability, BR1 contract, BR1 real-canary and slow suites",C5,bounded fast CI; BR1 parity jobs required for cutover but not every core PR
Documentation corpus,docs/*.md,ARCHIVE,docs/v2/ + frozen legacy branch/tag,Do not copy all governance documents; maintain a map of retained scientific and security contracts,"CORE-00,C2",no duplicate authority and legacy map complete
