"path","functional_area","disposition","v2_destination_or_replacement","reason","required_invariant_to_preserve","migration_milestone","inspection_basis","source_lines","internal_imports","inbound_imports"
"src/ai4s_agent/agents/__init__.py","legacy package boundary","ARCHIVE","none (frozen v1 only)","Package initialization has no independent Core v2 contract or authority.","Core v2 does not depend on legacy package initialization side effects.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","49","22","0"
"src/ai4s_agent/agents/action_handoff.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","324","5","0"
"src/ai4s_agent/agents/conversation.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","621","2","0"
"src/ai4s_agent/agents/critic.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","542","3","0"
"src/ai4s_agent/agents/data_miner.py","agent/tool and legacy agent modules","PLUGIN","plugins/br1_inverse_design/","Modeling, generation, and scientific tool integrations remain optional BR1 capabilities.","BR1 outputs carry current-run model/input/version/seed lineage and are absent from Core/minimal.","CORE-06","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","12","0","0"
"src/ai4s_agent/agents/dry_run_bridge.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","295","5","0"
"src/ai4s_agent/agents/dry_run_packet.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","272","4","0"
"src/ai4s_agent/agents/evaluation.py","agent/tool and legacy agent modules","PLUGIN","plugins/br1_inverse_design/","Modeling, generation, and scientific tool integrations remain optional BR1 capabilities.","BR1 outputs carry current-run model/input/version/seed lineage and are absent from Core/minimal.","CORE-06","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","61","0","0"
"src/ai4s_agent/agents/execution_preview.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","340","5","0"
"src/ai4s_agent/agents/generation.py","agent/tool and legacy agent modules","PLUGIN","plugins/br1_inverse_design/","Modeling, generation, and scientific tool integrations remain optional BR1 capabilities.","BR1 outputs carry current-run model/input/version/seed lineage and are absent from Core/minimal.","CORE-06","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","232","3","0"
"src/ai4s_agent/agents/generator_reinvent4.py","agent/tool and legacy agent modules","PLUGIN","plugins/br1_inverse_design/","Modeling, generation, and scientific tool integrations remain optional BR1 capabilities.","BR1 outputs carry current-run model/input/version/seed lineage and are absent from Core/minimal.","CORE-06","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","13","0","0"
"src/ai4s_agent/agents/modeling.py","agent/tool and legacy agent modules","PLUGIN","plugins/br1_inverse_design/","Modeling, generation, and scientific tool integrations remain optional BR1 capabilities.","BR1 outputs carry current-run model/input/version/seed lineage and are absent from Core/minimal.","CORE-06","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","1341","4","0"
"src/ai4s_agent/agents/observer.py","agent/tool and legacy agent modules","PLUGIN","src/molly/observability/","Observer behavior is optional and read-only relative to the RunLedger.","Observer/exporter failure cannot alter the run outcome or expose private payloads.","CORE-07","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","198","4","0"
"src/ai4s_agent/agents/oled_discovery.py","agent/tool and legacy agent modules","MIGRATE","src/molly/domains/oled/; src/molly/evidence/","Retain bounded OLED review/discovery semantics without the v1 controller or conversation authority.","OLED decisions are evidence-bound, policy-bounded, and non-authoritative projections.","CORE-05","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","598","3","0"
"src/ai4s_agent/agents/oled_local_demo_cancel.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","66","1","0"
"src/ai4s_agent/agents/oled_local_demo_enqueue.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","89","1","0"
"src/ai4s_agent/agents/oled_local_demo_execution.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","128","2","0"
"src/ai4s_agent/agents/oled_local_demo_generic_allowlist.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","63","1","0"
"src/ai4s_agent/agents/oled_local_demo_generic_cancel.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","77","2","0"
"src/ai4s_agent/agents/oled_local_demo_generic_enqueue.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","95","4","0"
"src/ai4s_agent/agents/oled_local_demo_generic_queue.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","171","7","0"
"src/ai4s_agent/agents/oled_local_demo_generic_retry.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","101","2","0"
"src/ai4s_agent/agents/oled_local_demo_generic_status.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","205","2","0"
"src/ai4s_agent/agents/oled_local_demo_generic_worker_loop.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","161","8","0"
"src/ai4s_agent/agents/oled_local_demo_health.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","168","2","0"
"src/ai4s_agent/agents/oled_local_demo_retry.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","87","1","0"
"src/ai4s_agent/agents/oled_local_demo_runplan.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","96","4","0"
"src/ai4s_agent/agents/oled_local_demo_status.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","184","1","0"
"src/ai4s_agent/agents/oled_local_demo_worker.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","228","5","0"
"src/ai4s_agent/agents/oled_local_demo_worker_loop.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","132","4","0"
"src/ai4s_agent/agents/oled_mvp_demo.py","agent/tool and legacy agent modules","MIGRATE","src/molly/domains/oled/; src/molly/evidence/","Retain bounded OLED review/discovery semantics without the v1 controller or conversation authority.","OLED decisions are evidence-bound, policy-bounded, and non-authoritative projections.","CORE-05","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","677","7","0"
"src/ai4s_agent/agents/oled_review_loop.py","agent/tool and legacy agent modules","MIGRATE","src/molly/domains/oled/; src/molly/evidence/","Retain bounded OLED review/discovery semantics without the v1 controller or conversation authority.","OLED decisions are evidence-bound, policy-bounded, and non-authoritative projections.","CORE-05","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","285","6","0"
"src/ai4s_agent/agents/planner.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","530","3","0"
"src/ai4s_agent/agents/prediction.py","agent/tool and legacy agent modules","PLUGIN","plugins/br1_inverse_design/","Modeling, generation, and scientific tool integrations remain optional BR1 capabilities.","BR1 outputs carry current-run model/input/version/seed lineage and are absent from Core/minimal.","CORE-06","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","442","4","0"
"src/ai4s_agent/agents/recovery.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","353","4","0"
"src/ai4s_agent/agents/report.py","agent/tool and legacy agent modules","SIMPLIFY","src/molly/core/inspection.py; src/molly/evidence/","Retain read-only report projection semantics over ledger and evidence records.","Reports are reproducible projections and cannot grant execution authority.","CORE-01,CORE-07","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","344","3","0"
"src/ai4s_agent/agents/research.py","agent/tool and legacy agent modules","DEFER","optional future research interface","Research-session orchestration is not required for the Core v2 contract.","Core execution remains available without research-session state.","after CORE-07","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","577","3","0"
"src/ai4s_agent/agents/screener.py","agent/tool and legacy agent modules","PLUGIN","plugins/br1_inverse_design/","Modeling, generation, and scientific tool integrations remain optional BR1 capabilities.","BR1 outputs carry current-run model/input/version/seed lineage and are absent from Core/minimal.","CORE-06","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","10","0","0"
"src/ai4s_agent/agents/tool_registry.py","agent/tool and legacy agent modules","MIGRATE","src/molly/core/tools.py","Make the typed tool catalog the single closed Core v2 ToolRegistry.","Known tools are explicit, policy-checked, and not duplicated across registries.","CORE-02","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","465","1","0"
"src/ai4s_agent/agents/trainer.py","agent/tool and legacy agent modules","PLUGIN","plugins/br1_inverse_design/","Modeling, generation, and scientific tool integrations remain optional BR1 capabilities.","BR1 outputs carry current-run model/input/version/seed lineage and are absent from Core/minimal.","CORE-06","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","10","0","0"
"src/ai4s_agent/agents/verifier.py","agent/tool and legacy agent modules","ARCHIVE","none (frozen v1 only)","Legacy agent specialization remains available for v1 rollback; future capabilities enter through the closed ToolRegistry.","No legacy agent module is imported as an independent Core v2 authority.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","408","3","0"
"src/ai4s_agent/api.py","application and UI projection","DEFER","optional src/molly/api.py; src/molly/cli.py","Application, project, and UI surfaces are deferred until bounded contracts stabilize.","UI/API failure or absence cannot alter Core facts or approvals.","after CORE-07","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","571","58","0"
"src/ai4s_agent/api_route_extensions.py","application and UI projection","DEFER","optional src/molly/api.py; src/molly/cli.py","Application, project, and UI surfaces are deferred until bounded contracts stabilize.","UI/API failure or absence cannot alter Core facts or approvals.","after CORE-07","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","511","22","0"
"src/ai4s_agent/app.py","application and UI projection","DEFER","optional src/molly/api.py; src/molly/cli.py","Application, project, and UI surfaces are deferred until bounded contracts stabilize.","UI/API failure or absence cannot alter Core facts or approvals.","after CORE-07","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","206","5","0"
"src/ai4s_agent/attempt_publication.py","v1 publication authority","ARCHIVE","none (frozen v1 only)","Archive multi-layer publication/adoption authority; only reviewed atomic/hash primitives may inform v2.","Core v2 publication is one content-addressed write plus one ledger event.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","1004","0","0"
"src/ai4s_agent/autonomy_authority.py","v1 authority and autonomy","ARCHIVE","none (frozen v1 only)","Freeze the v1 permission, authority-relation, autonomy-level, and lease stack outside Core v2.","Core v2 uses explicit RunRequest, closed ToolPolicy, and digest-bound approvals only.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","446","1","0"
"src/ai4s_agent/br1_acceptance_readiness.py","BR1 scientific integration","PLUGIN","plugins/br1_inverse_design/","BR1 preparation, model, generation, prediction, and evaluation remain optional plugin capabilities governed by the parity contract.","Fresh/current-run model and generation lineage is required; no historical artifact satisfies a fresh-real claim.","CORE-06","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","846","4","0"
"src/ai4s_agent/br1_preflight_authority.py","BR1 scientific integration","PLUGIN","plugins/br1_inverse_design/","BR1 preparation, model, generation, prediction, and evaluation remain optional plugin capabilities governed by the parity contract.","Fresh/current-run model and generation lineage is required; no historical artifact satisfies a fresh-real claim.","CORE-06","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","383","1","0"
"src/ai4s_agent/br1_preflight_materializer.py","BR1 scientific integration","PLUGIN","plugins/br1_inverse_design/","BR1 preparation, model, generation, prediction, and evaluation remain optional plugin capabilities governed by the parity contract.","Fresh/current-run model and generation lineage is required; no historical artifact satisfies a fresh-real claim.","CORE-06","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","716","3","0"
"src/ai4s_agent/br1_unimol_applicability.py","BR1 scientific integration","PLUGIN","plugins/br1_inverse_design/","BR1 preparation, model, generation, prediction, and evaluation remain optional plugin capabilities governed by the parity contract.","Fresh/current-run model and generation lineage is required; no historical artifact satisfies a fresh-real claim.","CORE-06","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","2542","8","0"
"src/ai4s_agent/chat_context.py","conversation and memory projection","DEFER","optional src/molly/api.py; src/molly/cli.py","Conversation and memory are optional projection layers, not Core execution authority.","Core runs, artifacts, and reviews remain usable without conversation persistence.","after CORE-07","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","128","2","0"
"src/ai4s_agent/chat_runplan.py","conversation and memory projection","DEFER","optional src/molly/api.py; src/molly/cli.py","Conversation and memory are optional projection layers, not Core execution authority.","Core runs, artifacts, and reviews remain usable without conversation persistence.","after CORE-07","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","351","6","0"
"src/ai4s_agent/compat_scripts/__init__.py","legacy package boundary","ARCHIVE","none (frozen v1 only)","Package initialization has no independent Core v2 contract or authority.","Core v2 does not depend on legacy package initialization side effects.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","1","0","0"
"src/ai4s_agent/compat_scripts/clean_dataset.py","legacy compatibility scripts","ARCHIVE","none (frozen v1 only)","Historical compatibility entry points remain available only through the frozen v1 line.","No compatibility script is imported by the Core v2 runtime.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","165","0","0"
"src/ai4s_agent/compat_scripts/nl_task_parser.py","legacy compatibility scripts","ARCHIVE","none (frozen v1 only)","Historical compatibility entry points remain available only through the frozen v1 line.","No compatibility script is imported by the Core v2 runtime.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","44","0","0"
"src/ai4s_agent/contextual_alias_resolution.py","legacy v1 package","ARCHIVE","none (frozen v1 only)","Retain this v1 implementation in the immutable rollback line; it is not a Core v2 authority.","Frozen v1 behavior remains recoverable and is not imported by the Core v2 runtime.","C1,C2","exact HEAD bc379401fd4d88efc714fb878628cb29e49765d2 AST parse + source/import/inbound scan; representative source review","825","1","0"
